Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.074354314,55.21978022,0.605143078,79.76190476
2,0.692737553,57.14285714,0.566749496,77.67857143
3,0.675009372,63.87362637,0.495844925,80.35714286
4,0.540908905,72.52747253,0.47685145,76.78571429
5,0.39503797,83.24175824,0.332603071,86.01190476
6,0.270401137,89.42307692,0.382920108,83.92857143
7,0.195388842,92.99450549,0.286599624,89.28571429
8,0.188478517,93.54395604,0.268653021,92.85714286
9,0.165505284,94.09340659,0.281416227,87.20238095
10,0.145486616,94.36813187,0.030677953,99.4047619
11,0.068442291,97.66483516,0.153811826,94.94047619
12,0.07238938,97.52747253,0.386500214,90.17857143
13,0.069082008,98.62637363,0.067266703,97.61904762
14,0.03474947,99.03846154,0.054718762,98.51190476
15,0.040510932,98.35164835,0.071286738,96.13095238
16,0.043469801,98.76373626,0.059156439,98.51190476
17,0.040157953,99.45054945,0.011661495,99.4047619
18,0.014425192,99.72527473,0.011866026,99.4047619
19,0.006490931,99.86263736,0.010934789,99.70238095
20,0.011217129,99.86263736,0.004851281,99.70238095
